"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11 2018","6885.9","6775.2","6910.8","6657.2","174.88K","1.64%"
"Jun 10 2018","6775.1","7515.8","7516.3","6668.1","275.69K","-9.85%"
"Jun 09 2018","7515.8","7622.1","7689.0","7493.3","97.56K","-1.40%"
"Jun 08 2018","7622.1","7697.9","7710.5","7556.9","112.88K","-0.98%"
"Jun 07 2018","7697.8","7661.0","7754.7","7657.7","124.00K","0.48%"
"Jun 06 2018","7661.0","7631.5","7699.1","7504.4","130.66K","0.39%"
"Jun 05 2018","7631.5","7507.4","7672.6","7391.0","145.23K","1.69%"
"Jun 04 2018","7504.3","7729.3","7759.9","7468.4","141.01K","-2.91%"
"Jun 03 2018","7729.3","7646.6","7775.0","7611.3","116.68K","1.08%"
"Jun 02 2018","7646.6","7530.8","7694.5","7467.9","121.18K","1.54%"
"Jun 01 2018","7530.8","7502.5","7610.4","7375.8","135.92K","0.38%"
"May 31 2018","7502.6","7400.8","7611.9","7355.0","144.52K","1.39%"
"May 30 2018","7400.1","7469.2","7565.2","7306.8","140.37K","-0.91%"
"May 29 2018","7467.7","7119.3","7533.0","7069.8","186.97K","4.89%"
"May 28 2018","7119.3","7367.3","7446.9","7090.6","152.29K","-3.36%"
"May 27 2018","7366.7","7361.9","7411.8","7267.5","103.29K","0.07%"
"May 26 2018","7361.3","7478.5","7619.3","7331.5","103.07K","-1.56%"
"May 25 2018","7477.7","7593.9","7653.4","7355.6","161.82K","-1.52%"
"May 24 2018","7592.9","7512.3","7736.6","7293.4","211.11K","1.07%"
"May 23 2018","7512.3","8005.7","8047.4","7467.6","237.60K","-6.17%"
"May 22 2018","8006.0","8403.8","8414.5","7979.3","137.51K","-4.73%"
"May 21 2018","8403.3","8529.5","8550.6","8375.5","115.52K","-1.47%"
"May 20 2018","8529.0","8243.9","8580.4","8184.7","113.76K","3.44%"
"May 19 2018","8245.1","8244.7","8389.1","8153.2","107.89K","-0.01%"
"May 18 2018","8245.7","8064.4","8273.6","7939.8","150.32K","2.27%"
"May 17 2018","8063.0","8344.6","8458.7","8022.3","154.36K","-3.37%"
"May 16 2018","8344.4","8477.0","8496.4","8120.1","188.03K","-1.56%"
"May 15 2018","8477.0","8674.0","8842.1","8436.5","179.62K","-2.27%"
"May 14 2018","8674.1","8693.4","8878.3","8305.1","212.05K","-0.22%"
"May 13 2018","8693.5","8489.1","8758.4","8330.0","149.80K","2.77%"
"May 12 2018","8459.5","8409.6","8646.1","8184.1","210.87K","0.61%"
"May 11 2018","8408.3","9026.0","9028.7","8359.6","270.62K","-6.84%"
"May 10 2018","9025.7","9319.2","9393.3","9013.4","152.71K","-3.15%"
"May 09 2018","9319.1","9194.9","9377.9","8988.0","147.89K","1.33%"
"May 08 2018","9196.4","9373.9","9404.4","9079.8","157.45K","-2.49%"
"May 07 2018","9431.6","9651.1","9675.6","9204.2","165.08K","-2.33%"
"May 06 2018","9656.4","9859.6","9957.7","9446.7","150.95K","-2.00%"
"May 05 2018","9853.5","9709.5","9992.8","9691.3","158.45K","1.49%"
"May 04 2018","9708.6","9747.6","9800.9","9549.0","161.55K","-0.42%"
"May 03 2018","9749.7","9244.2","9809.4","9171.4","201.18K","5.48%"
"May 02 2018","9243.2","9076.8","9265.7","8991.9","137.48K","1.85%"
"May 01 2018","9074.9","9245.1","9245.1","8851.0","173.35K","-1.84%"
